id,qual,q1,q2i,q3i
62bddd0b3aa68f161edf4092,5,3,0,0
62bddd0b3aa68f161edf4093,3,3,1,1
62bddd0b3aa68f161edf4094,5,3,0,0
62bddd0b3aa68f161edf4095,5,3,0,0
62bddd0b3aa68f161edf4096,5,3,0,0
62bddd0b3aa68f161edf4097,5,3,0,0
62bddd0b3aa68f161edf4098,3,3,1,1
62bddd0b3aa68f161edf4099,5,3,0,0
62bddd0b3aa68f161edf409a,3,3,1,1
62bddd0b3aa68f161edf409c,3,3,1,1
62bddd0b3aa68f161edf409d,3,3,1,1
62bddd0b3aa68f161edf409e,3,3,1,1
62bddd0b3aa68f161edf409f,3,3,1,1
62bddd0b3aa68f161edf40a0,1,1,1,1
62bddd0b3aa68f161edf40a1,5,3,0,0
62bddd0b3aa68f161edf40a4,5,3,0,0
62bddd0b3aa68f161edf40a5,3,3,1,1
62bddd0b3aa68f161edf40a6,3,3,1,1
62bddd0b3aa68f161edf40a7,5,3,0,0
62bddd0b3aa68f161edf40a8,5,3,0,0
62bddd0b3aa68f161edf40a9,4,3,0,1
62bddd0b3aa68f161edf40aa,3,3,1,1
62bddd0b3aa68f161edf40ab,3,3,1,1
62bddd0b3aa68f161edf40b1,5,3,0,0
62bddd0b3aa68f161edf40b2,3,3,1,1
62bddd0b3aa68f161edf40b3,5,3,0,0
62bddd0b3aa68f161edf40b4,5,3,0,0
62bddd0b3aa68f161edf40b5,3,3,1,1
62bddd0b3aa68f161edf40b6,3,3,1,1
62bddd0b3aa68f161edf40b7,3,3,1,1
62bddd0b3aa68f161edf40b8,3,3,1,1
62bddd0b3aa68f161edf40b9,3,3,1,1
62bddd0b3aa68f161edf40ba,3,3,1,1
62bddd0b3aa68f161edf40bb,5,3,0,0
62bddd0b3aa68f161edf40bc,3,3,1,1
62bddd0b3aa68f161edf40c1,5,3,0,0
62bddd0b3aa68f161edf40c2,5,3,0,0
62bddd0b3aa68f161edf40c3,1,1,1,1
62bddd0b3aa68f161edf40c4,3,3,1,1
62bddd0b3aa68f161edf40c5,3,3,1,1
62bddd0b3aa68f161edf40c6,3,3,1,1
62bddd0b3aa68f161edf40c7,3,3,1,1
62bddd0b3aa68f161edf40c8,3,3,1,1
62bddd0b3aa68f161edf40c9,3,3,1,1
62bddd0b3aa68f161edf40ca,5,3,0,0
62bddd0b3aa68f161edf40cb,3,3,1,1
62bddd0b3aa68f161edf40cc,3,3,1,1
62bddd0b3aa68f161edf40cd,3,3,1,1
62bddd0b3aa68f161edf40ce,3,3,1,1
62bddd0b3aa68f161edf40cf,3,3,1,1
62bddd0b3aa68f161edf40d0,1,1,1,1
62bddd0b3aa68f161edf40d1,5,3,0,0
62bddd0b3aa68f161edf40d2,5,3,0,0
62bddd0b3aa68f161edf40d3,5,3,0,0
62bddd0b3aa68f161edf40d4,5,3,0,0
62bddd0b3aa68f161edf40d5,3,3,1,1
62bddd0b3aa68f161edf40d6,3,3,1,1
62bddd0b3aa68f161edf40d9,5,3,0,0
62bddd0b3aa68f161edf40da,5,3,0,0
62bddd0b3aa68f161edf40db,3,3,1,1
62bddd0b3aa68f161edf40dc,5,3,0,0
62bddd0b3aa68f161edf40dd,3,3,1,1
62bddd0b3aa68f161edf40de,3,3,1,1
62bddd0b3aa68f161edf40df,5,3,0,0
62bddd0b3aa68f161edf40e0,3,3,1,1
62bddd0b3aa68f161edf40e1,3,3,1,1
62bddd0b3aa68f161edf40e2,4,3,0,1
62bddd0b3aa68f161edf40e3,3,3,1,1
62bddd0b3aa68f161edf40e4,5,3,0,0
62bddd0b3aa68f161edf40e6,3,3,1,1
62bddd0b3aa68f161edf40e8,3,3,1,1
62bddd0b3aa68f161edf40e9,3,3,1,1
62bddd0b3aa68f161edf40ea,1,1,1,1
62bddd0b3aa68f161edf40eb,3,3,1,1
62bddd0b3aa68f161edf40ec,2,2,1,1
62bddd0b3aa68f161edf40ed,3,3,1,1
62bddd0b3aa68f161edf40ee,3,3,1,1
62bddd0b3aa68f161edf40f2,3,3,1,1
62bddd0b3aa68f161edf40f3,3,3,1,1
62bddd0b3aa68f161edf40f4,3,3,1,1
62bddd0b3aa68f161edf40f5,5,3,0,0
62bddd0b3aa68f161edf40f6,5,3,0,0
62bddd0b3aa68f161edf40f7,3,3,1,1
62bddd0b3aa68f161edf40f8,5,3,0,0
62bddd0b3aa68f161edf40f9,5,3,0,0
62bddd0b3aa68f161edf40fa,3,3,1,1
62bddd0b3aa68f161edf40fb,5,3,0,0
62bddd0b3aa68f161edf40fc,5,3,0,0
62bddd0b3aa68f161edf40fd,5,3,0,0
62bddd0b3aa68f161edf40fe,5,3,0,0
62bddd0b3aa68f161edf40ff,3,3,1,1
62bddd0b3aa68f161edf4100,5,3,0,0
62bddd0b3aa68f161edf4101,2,2,1,1
62bddd0b3aa68f161edf4102,5,3,0,0
62bddd0b3aa68f161edf4103,3,3,1,1
62bddd0b3aa68f161edf4104,5,3,0,0
62bddd0b3aa68f161edf4105,5,3,0,0
62bddd0b3aa68f161edf4106,5,3,0,0
62bddd0b3aa68f161edf4107,3,3,1,1
62bddd0b3aa68f161edf4108,3,3,1,1
62bddd0b3aa68f161edf4109,3,3,1,1
62bddd0b3aa68f161edf410a,3,3,1,1
62bddd0b3aa68f161edf410b,2,2,1,1
62bddd0e3aa68f161edf4124,3,3,1,1
62bddd0e3aa68f161edf4125,1,1,1,1
62bddd0e3aa68f161edf4126,1,1,1,1
62bddd0e3aa68f161edf4127,1,1,1,1
62bddd0e3aa68f161edf4128,2,2,1,1
62bddd0e3aa68f161edf4129,5,3,0,0
62bddd0e3aa68f161edf412a,1,1,1,1
62bddd0e3aa68f161edf412b,1,1,1,1
62bddd0e3aa68f161edf412c,3,3,1,1
62bddd0e3aa68f161edf412d,4,3,0,1
62bddd0e3aa68f161edf412f,1,1,1,1
62bddd0e3aa68f161edf4130,3,3,1,1
62bddd0e3aa68f161edf4131,1,1,1,1
62bddd0e3aa68f161edf4132,1,1,1,1
62bddd0e3aa68f161edf4133,1,1,1,1
62bddd0e3aa68f161edf4134,3,3,1,1
62bddd0e3aa68f161edf4135,3,3,1,1
62bddd0e3aa68f161edf4136,1,1,1,1
62bddd0e3aa68f161edf4137,1,1,1,1
62bddd0e3aa68f161edf4138,3,3,1,1
62bddd0e3aa68f161edf4139,5,3,0,0
62bddd0e3aa68f161edf413a,1,1,1,1
62bddd0e3aa68f161edf413b,3,3,1,1
62bddd0e3aa68f161edf413c,5,3,0,0
62bddd0e3aa68f161edf413d,5,3,0,0
62bddd0e3aa68f161edf413e,5,3,0,0
62bddd0e3aa68f161edf413f,5,3,0,0
62bddd0e3aa68f161edf4140,5,3,0,0
62bddd0e3aa68f161edf4141,3,3,1,1
62bddd0e3aa68f161edf4142,5,3,0,0
62bddd0e3aa68f161edf4145,3,3,1,1
62bddd0e3aa68f161edf4146,1,1,1,1
62bddd0e3aa68f161edf4147,3,3,1,1
62bddd0e3aa68f161edf4148,3,3,1,1
62bddd0e3aa68f161edf4149,1,1,1,1
62bddd0e3aa68f161edf414a,2,1,0,1
62bddd0e3aa68f161edf414b,1,1,1,1
62bddd0e3aa68f161edf414c,1,1,1,1
62bddd0e3aa68f161edf414d,2,2,1,1
62bddd0e3aa68f161edf414e,3,3,1,1
62bddd0e3aa68f161edf414f,3,3,1,1
62bddd0e3aa68f161edf4150,1,1,1,1
62bddd0e3aa68f161edf4151,3,3,1,1
62bddd0e3aa68f161edf4152,1,1,1,1
62bddd0e3aa68f161edf4155,1,1,1,1
62bddd0e3aa68f161edf4156,3,3,1,1
62bddd0e3aa68f161edf4157,3,3,1,1
62bddd0e3aa68f161edf4158,3,3,1,1
62bddd0e3aa68f161edf4159,5,3,0,0
62bddd0e3aa68f161edf415a,3,3,1,1
62bddd0e3aa68f161edf415b,1,1,1,1
62bddd0e3aa68f161edf415c,3,3,1,1
62bddd0e3aa68f161edf415d,3,3,1,1
62bddd0e3aa68f161edf415e,3,3,1,1
62bddd0e3aa68f161edf415f,1,1,1,1
62bddd0e3aa68f161edf4160,3,3,1,1
62bddd0e3aa68f161edf4161,3,3,1,1
62bddd0e3aa68f161edf4162,2,2,1,1
62bddd0e3aa68f161edf4163,3,3,1,1
62bddd0e3aa68f161edf4164,2,2,1,1
62bddd0e3aa68f161edf4165,3,3,1,1
62bddd0e3aa68f161edf4166,3,3,1,1
62bddd0e3aa68f161edf4167,3,3,1,1
62bddd0e3aa68f161edf4168,2,2,1,1
62bddd0e3aa68f161edf4169,3,3,1,1
62bddd0e3aa68f161edf416a,3,3,1,1
62bddd0e3aa68f161edf416b,3,3,1,1
62bddd0e3aa68f161edf416c,5,3,0,0
62bddd0e3aa68f161edf416d,3,3,1,1
62bddd0e3aa68f161edf416e,3,3,1,1
62bddd0e3aa68f161edf416f,3,3,1,1
62bddd0e3aa68f161edf4174,3,3,1,1
62bddd0e3aa68f161edf4175,2,2,1,1
62bddd0e3aa68f161edf4176,3,3,1,1
62bddd0e3aa68f161edf4177,1,1,1,1
62bddd0e3aa68f161edf4178,3,3,1,1
62bddd0e3aa68f161edf4179,3,3,1,1
62bddd0e3aa68f161edf417a,1,1,1,1
62bddd0e3aa68f161edf417b,3,3,1,1
62bddd0e3aa68f161edf417c,3,3,1,1
62bddd0e3aa68f161edf417d,5,3,0,0
62bddd0e3aa68f161edf417e,3,3,1,1
62bddd0e3aa68f161edf417f,3,3,1,1
62bddd0e3aa68f161edf4180,3,3,1,1
62bddd0e3aa68f161edf4181,3,3,1,1
62bddd0e3aa68f161edf4182,3,3,1,1
62bddd0e3aa68f161edf4183,3,3,1,1
62bddd0e3aa68f161edf4184,4,3,0,1
62bddd0e3aa68f161edf4185,1,1,1,1
62bddd0e3aa68f161edf4186,3,3,1,1
62bddd0e3aa68f161edf4187,4,3,0,1
62bddd0e3aa68f161edf4188,1,1,1,1
62bddd0e3aa68f161edf4189,5,3,0,0
62bddd0e3aa68f161edf418a,5,3,0,0
62bddd0e3aa68f161edf418b,1,1,1,1
62bddd0e3aa68f161edf418c,3,3,1,1
62bddd0e3aa68f161edf418d,3,3,1,1
62bddd0e3aa68f161edf418e,3,3,1,1
62bddd0e3aa68f161edf418f,3,3,1,1
62bddd0e3aa68f161edf4190,1,1,1,1
62bddd0e3aa68f161edf4191,1,1,1,1
62bddd0e3aa68f161edf4192,4,3,0,1
62bddd0e3aa68f161edf4193,3,3,1,1
62bddd0e3aa68f161edf4194,3,3,1,1
62bddd0e3aa68f161edf4195,3,3,1,1
62bddd0e3aa68f161edf419a,1,1,1,1
62bddd0e3aa68f161edf419b,1,1,1,1
62bddd0e3aa68f161edf419c,3,3,1,1
62bddd0e3aa68f161edf419d,1,1,1,1
62bddd0e3aa68f161edf419e,3,2,0,1
62bddd0e3aa68f161edf419f,3,3,1,1
62bddd0e3aa68f161edf41a0,1,1,1,1
62bddd0e3aa68f161edf41a1,3,3,1,1
62bddd0e3aa68f161edf41a2,1,1,1,1
62bddd0e3aa68f161edf41a3,1,1,1,1
62bddd0e3aa68f161edf41a4,5,3,0,0
62bddd0e3aa68f161edf41a5,3,3,1,1
62bddd0e3aa68f161edf41a6,5,3,0,0
62bddd0e3aa68f161edf41a7,5,3,0,0
62bddd0e3aa68f161edf41a8,3,3,1,1
62bddd0e3aa68f161edf41a9,3,3,1,1
62bddd0e3aa68f161edf41aa,3,3,1,1
62bddd0e3aa68f161edf41ab,5,3,0,0
62bddd0e3aa68f161edf41ac,5,3,0,0
62bddd0e3aa68f161edf41ad,1,1,1,1
62bddd0e3aa68f161edf41ae,3,3,1,1
62bddd0e3aa68f161edf41af,3,3,1,1
62bddd0e3aa68f161edf41b0,3,3,1,1
62bddd0e3aa68f161edf41b1,3,3,1,1
62bddd0e3aa68f161edf41b2,3,3,1,1
62bddd0e3aa68f161edf41b3,5,3,0,0
62bddd0e3aa68f161edf41b4,3,3,1,1
62bddd0e3aa68f161edf41b5,1,1,1,1
62bddd0e3aa68f161edf41b6,5,3,0,0
62bddd0e3aa68f161edf41b7,3,3,1,1
62bddd0e3aa68f161edf41b8,3,3,1,1
62bddd0e3aa68f161edf41b9,3,3,1,1
62bddd0e3aa68f161edf41ba,3,3,1,1
62bddd0e3aa68f161edf41bb,3,3,1,1
62bddd0e3aa68f161edf41bc,2,2,1,1
62bddd0e3aa68f161edf41bf,3,3,1,1
62bddd0e3aa68f161edf41c0,3,3,1,1
62bddd0e3aa68f161edf41c1,3,3,1,1
62bddd0e3aa68f161edf41c2,1,1,1,1
62bddd0e3aa68f161edf41c3,3,3,1,1
62bddd0e3aa68f161edf41c4,3,3,1,1
62bddd0e3aa68f161edf41c5,3,3,1,1
62bddd0e3aa68f161edf41c6,3,3,1,1
62bddd0e3aa68f161edf41c7,3,3,1,1
62bddd0e3aa68f161edf41c8,3,3,1,1
62bddd0e3aa68f161edf41c9,3,3,1,1
62bddd0e3aa68f161edf41ca,1,1,1,1
62bddd0e3aa68f161edf41cb,3,3,1,1
62bddd0e3aa68f161edf41cc,1,1,1,1
62bddd0e3aa68f161edf41d1,3,3,1,1
62bddd0e3aa68f161edf41d2,3,3,1,1
62bddd0e3aa68f161edf41d3,3,3,1,1
62bddd0e3aa68f161edf41d4,3,3,1,1
62bddd0e3aa68f161edf41d5,3,3,1,1
62bddd0e3aa68f161edf41d6,1,1,1,1
62bddd0e3aa68f161edf41d7,4,3,0,1
62bddd0e3aa68f161edf41d8,3,3,1,1
62bddd0e3aa68f161edf41d9,3,3,1,1
62bddd0e3aa68f161edf41da,3,3,1,1
62bddd0e3aa68f161edf41db,3,3,1,1
62bddd0e3aa68f161edf41dc,3,3,1,1
62bddd0e3aa68f161edf41dd,3,3,1,1
62bddd0e3aa68f161edf41de,3,3,1,1
62bddd0e3aa68f161edf41df,3,3,1,1
62bddd0e3aa68f161edf41e0,3,3,1,1
62bddd0e3aa68f161edf41e1,3,3,1,1
62bddd0e3aa68f161edf41e2,5,3,0,0
62bddd0e3aa68f161edf41e3,3,3,1,1
62bddd0e3aa68f161edf41e4,3,3,1,1
62bddd0e3aa68f161edf41e5,3,3,1,1
62bddd0e3aa68f161edf41e6,3,3,1,1
62bddd0e3aa68f161edf41e7,3,3,1,1
62bddd0e3aa68f161edf41e8,3,3,1,1
62bddd0e3aa68f161edf41e9,1,1,1,1
62bddd0e3aa68f161edf41ea,3,3,1,1
62bddd0e3aa68f161edf41eb,3,3,1,1
62bddd0e3aa68f161edf41ec,3,3,1,1
62bddd0e3aa68f161edf41f6,3,3,1,1
62bddd0e3aa68f161edf41f7,3,3,1,1
62bddd0e3aa68f161edf41f8,3,3,1,1
62bddd0e3aa68f161edf41f9,3,3,1,1
62bddd0e3aa68f161edf41fa,1,1,1,1
62bddd0e3aa68f161edf41fb,4,3,0,1
62bddd0e3aa68f161edf41fc,5,3,0,0
62bddd0e3aa68f161edf41fd,4,3,0,1
62bddd0e3aa68f161edf41fe,3,3,1,1
62bddd0e3aa68f161edf41ff,3,3,1,1
62bddd0e3aa68f161edf4200,3,3,1,1
62bddd0e3aa68f161edf4201,3,3,1,1
62bddd0e3aa68f161edf4202,2,2,1,1
62bddd0e3aa68f161edf4203,2,2,1,1
62bddd0e3aa68f161edf4204,3,3,1,1
62bddd0e3aa68f161edf4205,3,3,1,1
62bddd0e3aa68f161edf4206,3,3,1,1
62bddd0e3aa68f161edf4207,3,3,1,1
62bddd0e3aa68f161edf4208,3,3,1,1
62bddd0e3aa68f161edf4209,4,3,0,1
